name,price,url,source,rating,reviews,weight_g,original_currency,original_value,standardized_price_inr,price_inr,cleaned_name,price_per_gram,dedup_hash,popularity_score,popularity_rank
"Cadbury Celebrations Assorted Chocolate Diwali Gift Pack, 144.1 gram",95.0,https://www.amazon.in/dp/B07FHDDK1M,amazon,4.3,,,INR,95.0,95.0,95.0,"Cadbury Celebrations Assorted Chocolate Diwali Gift Pack, 144.1 gram",,5bf070ef464da290df001aa3b544753d,45.26,1
"Cadbury Celebrations Assorted Chocolate Gift Pack, 141.68 g",145.0,https://www.amazon.in/dp/B07F2G714R,amazon,4.2,,141.68,INR,145.0,145.0,145.0,"Cadbury Celebrations Assorted Chocolate Gift Pack, 141.68 g",1.02,7d0117405ac39d431a0059f9724d0219,41.18,2
"SMOOR Assorted Choco Truffles Box | Milk Chocolate with Centre Filling | Premium Chocolate for Wedding, Birthday, Annivers...",124.0,https://www.amazon.in/dp/B0BFQC78J4,amazon,4.4,,,INR,124.0,124.0,124.0,"SMOOR Assorted Choco Truffles Box | Milk Chocolate with Centre Filling | Premium Chocolate for Wedding, Birthday, Annivers...",,9a58470478853c603b8b75f137f5a86e,35.48,3
"Dessert Spring Happy Birthday Chocolate Gift Box, 185g Assorted Premium Pralines, Luxury 16pc Milk & Dark Chocolate Hampe...",249.0,https://www.amazon.in/dp/B0DJRHCMMK,amazon,4.5,,185.0,INR,249.0,249.0,249.0,"Dessert Spring Happy Birthday Chocolate Gift Box, 185g Assorted Premium Pralines, Luxury 16pc Milk & Dark Chocolate Hampe...",1.35,12d23098fa19692d2cedad85021ba540,33.33,4
4700BC Nutty Tuxedo Chocolate Popcorn | Gifting Tin | 150g,186.0,https://www.amazon.in/dp/B074DXB9SB,amazon,4.1,,150.0,INR,186.0,186.0,186.0,4700BC Nutty Tuxedo Chocolate Popcorn | Gifting Tin | 150g,1.24,54de8df8e166aa42294db3b0ea1c56bc,33.06,5
Hyperfoods® Valentine'S Chocolate Gift Hamper 175G Tin Box Valentine Gifts Valentine Gift For Girlfriend Valentines Gift F...,299.0,https://www.amazon.in/dp/B0D9JSJC3V,amazon,5.0,,175.0,INR,299.0,299.0,299.0,Hyperfoods® Valentine'S Chocolate Gift Hamper 175G Tin Box Valentine Gifts Valentine Gift For Girlfriend Valentines Gift F...,1.71,3c6a627e83ef90417bd9dcac06a40b3b,29.24,6
"SFU E Com Chocolate with Cute Teddy Hamper | Gift for Holi, Rakhi, Diwali, Anniversary, Birthday, Christmas, Valentine, He...",151.0,https://www.amazon.in/dp/B07T3K3RJ7,amazon,3.9,,,INR,151.0,151.0,151.0,"SFU E Com Chocolate with Cute Teddy Hamper | Gift for Holi, Rakhi, Diwali, Anniversary, Birthday, Christmas, Valentine, He...",,789adadc341ec80fdc54bee627e8c936,25.83,7
"Cadbury Celebrations Premium Selections Chocolates Diwali Gift Pack,268 Gram",190.0,https://www.amazon.in/dp/B07F2KKDD5,amazon,4.3,,,INR,190.0,190.0,190.0,"Cadbury Celebrations Premium Selections Chocolates Diwali Gift Pack,268 Gram",,693c06888483bbe421f7dfff5f61c13d,22.63,8
"4700BC Gourmet Popcorn Gift Box (4 Tins – BBQ Cheese, Salted Caramel, Mocha Walnut & Nutty Tuxedo Chocolate, 460g) | Premi...",977.0,https://www.amazon.in/dp/B07H8WKF5V,amazon,4.4,,460.0,INR,977.0,977.0,977.0,"4700BC Gourmet Popcorn Gift Box (4 Tins – BBQ Cheese, Salted Caramel, Mocha Walnut & Nutty Tuxedo Chocolate, 460g) | Premi...",2.12,11b56fbaaa584048ce2bb5088c7521d6,20.75,9
"Chocoloony Chocolate Gift Hamper Basket with 40 pcs Milk Chocolate (240gm) for Gift Sister, Wife and Girlfriend",475.0,https://www.amazon.in/dp/B08KYFVZ11,amazon,4.1,,240.0,INR,475.0,475.0,475.0,"Chocoloony Chocolate Gift Hamper Basket with 40 pcs Milk Chocolate (240gm) for Gift Sister, Wife and Girlfriend",1.98,3c19295d4ce76008e1ca616487fcbe33,20.71,10
"Tosca Muso Gold Centre Filled Chocolate Truffles | Milk Chocolate Gift Box | Luxury, Individually Wrapped Chocolates for P...",249.0,https://www.amazon.in/dp/B0G6DTLV1L,amazon,5.0,,,INR,249.0,249.0,249.0,"Tosca Muso Gold Centre Filled Chocolate Truffles | Milk Chocolate Gift Box | Luxury, Individually Wrapped Chocolates for P...",,a30d8f6cb575541d4185201b81f30027,20.08,11
"Cadbury Dairy Milk Silk Miniatures Premium Assorted Chocolate Gift pack, 240 g",562.0,https://www.amazon.in/dp/B0GGDGRQD7,amazon,4.5,,240.0,INR,562.0,562.0,562.0,"Cadbury Dairy Milk Silk Miniatures Premium Assorted Chocolate Gift pack, 240 g",2.34,234a0f06d9a3f3ee448bb22070cf1839,19.23,12
"SFU E Com Cadbury Chocolate Gift Combo|Gift for Holi, Rakhi, Diwali, Birthday, Anniversary, Valentine, Him, Her|Chocolate ...",209.0,https://www.amazon.in/dp/B07PT78QJK,amazon,4.0,,,INR,209.0,209.0,209.0,"SFU E Com Cadbury Chocolate Gift Combo|Gift for Holi, Rakhi, Diwali, Birthday, Anniversary, Valentine, Him, Her|Chocolate ...",,ad5214b3b246e640ad40b6065896f83b,19.14,13
Pure Temptation Chocoblast Celebration Gift Box | 196g Chocolate-Filled Waffle Cones | Premium Chocolate Gift Hamper for M...,449.0,https://www.amazon.in/dp/B0FGJVSHMS,amazon,4.2,,196.0,INR,449.0,449.0,449.0,Pure Temptation Chocoblast Celebration Gift Box | 196g Chocolate-Filled Waffle Cones | Premium Chocolate Gift Hamper for M...,2.29,fcca2827298d70b48bfd2cd46dead3d0,18.34,14
"CookieMan Premium Chocolate Gift Box – 25 Center-Filled Chocolates, 275g | Indulgent Hazelnut, Strawberry & English Toffee...",585.0,https://www.amazon.in/dp/B09J91LBPN,amazon,3.9,,275.0,INR,585.0,585.0,585.0,"CookieMan Premium Chocolate Gift Box – 25 Center-Filled Chocolates, 275g | Indulgent Hazelnut, Strawberry & English Toffee...",2.13,b8492361580a55383edea4e45c25cbd0,18.31,15
CHOKOTABS+ Tabs Chocolate for Men and Women | Premium tabs Dark Chocolate for Couple | Perfect Gourmet Chocolate Gift Box ...,284.0,https://www.amazon.in/dp/B0GQ2HNKK1,amazon,5.0,,,INR,284.0,284.0,284.0,CHOKOTABS+ Tabs Chocolate for Men and Women | Premium tabs Dark Chocolate for Couple | Perfect Gourmet Chocolate Gift Box ...,,7986b18221705cf64defe0872bbb9188,17.61,16
"Hugs Ghana Twist Dark Chocolates Jar – Premium Center Filled Dark Chocolate Truffles | Chocolate Gift Pack for Birthday, A...",199.0,https://www.amazon.in/dp/B0FNMNFQ6V,amazon,3.5,,,INR,199.0,199.0,199.0,"Hugs Ghana Twist Dark Chocolates Jar – Premium Center Filled Dark Chocolate Truffles | Chocolate Gift Pack for Birthday, A...",,f9dbc1a5d6da95caa21a4ef1043c78e0,17.59,17
Loyka Almond Brittle Assorted Choco Box - 8 pcs 116gm | Premium Chocolate Gift Hamper | Choco & Nut Dryfruit Delicacy | Ro...,299.0,https://www.amazon.in/dp/B0BF4FXP8L,amazon,4.3,,116.0,INR,299.0,299.0,299.0,Loyka Almond Brittle Assorted Choco Box - 8 pcs 116gm | Premium Chocolate Gift Hamper | Choco & Nut Dryfruit Delicacy | Ro...,2.58,534ea536cc4d471a2be24ca699905842,16.67,18
"SFU E Com Overloaded Crunchy Kitkat Chocolate Box | Chocolate Gift Hamper For Rakhi, Diwali, Christmas, New Year, Birthda...",239.0,https://www.amazon.in/dp/B0CDV9SJ5D,amazon,3.9,,,INR,239.0,239.0,239.0,"SFU E Com Overloaded Crunchy Kitkat Chocolate Box | Chocolate Gift Hamper For Rakhi, Diwali, Christmas, New Year, Birthda...",,c5dbf961c6fed9407f970cc5be55fe68,16.32,19
Loyka Almond Brittle Gold Choco Box - 8 pcs 116gm | Premium Chocolate Gift Hamper | Chocolate & Nut Dryfruit Delicacy | Ro...,313.0,https://www.amazon.in/dp/B0B68697VN,amazon,4.4,,116.0,INR,313.0,313.0,313.0,Loyka Almond Brittle Gold Choco Box - 8 pcs 116gm | Premium Chocolate Gift Hamper | Chocolate & Nut Dryfruit Delicacy | Ro...,2.7,a3dcde6a631799743cfa32c5b7861691,16.3,20
"Cadbury Studio Signature Pralines Brownie Aux Noix Chocolate Gift Pack, 130 g",352.0,https://www.amazon.in/dp/B0DDCSWYG8,amazon,4.2,,130.0,INR,352.0,352.0,352.0,"Cadbury Studio Signature Pralines Brownie Aux Noix Chocolate Gift Pack, 130 g",2.71,bbc7e0a69c5b7ebd3a59ac65706db36f,15.5,21
Open Secret Chocolate Brownie Gift Box | 5 Mini Gourmet Brownies | Assorted Chocolate Dessert Hamper | Festive Sweets & Ho...,265.0,https://www.amazon.in/dp/B0G1CH4FMM,amazon,4.1,,,INR,265.0,265.0,265.0,Open Secret Chocolate Brownie Gift Box | 5 Mini Gourmet Brownies | Assorted Chocolate Dessert Hamper | Festive Sweets & Ho...,,2ee4d1198caeb7aa715d781304c8db49,15.47,22
"BILZEN Gourmet Assorted (Milk, Dark & White) Chocolates with Dates and Roasted Almonds Gift Box I No Preservative | No Add...",299.0,https://www.amazon.in/dp/B0CKHTDMKW,amazon,4.6,,,INR,299.0,299.0,299.0,"BILZEN Gourmet Assorted (Milk, Dark & White) Chocolates with Dates and Roasted Almonds Gift Box I No Preservative | No Add...",,ad5f86b0caa284b50c27085ca9ff8ebc,15.38,23
